,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,Charlotte ,"1,377","1,545",114,"1,913", D , D , -   ,10,"1,381","1,546",114,"1,923"
,,,,,,,,,,,,,
,Raleigh,"1,270","1,321",60,"1,815",68,59, D ,116,"1,338","1,380",62,"1,931"
,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cincinnati ,576,660,40,738, D , D , D , D ,579,663,41,740
,,,,,,,,,,,,,
,Cleveland ,862,"1,027",78,"1,058", -   , D , D , D ,862,"1,033",79,"1,060"
,,,,,,,,,,,,,
,Columbus,854,"1,016",74,957, D , D , -   , D ,856,"1,017",74,962
,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Oklahoma City ,705,775,78,"1,120",206,155, D ,214,911,930,79,"1,334"
,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Portland ,"1,616","1,847",128,"2,901", D , D , D , D ,"1,620","1,854",131,"2,910"
,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Philadelphia,"3,820","3,941",264,"6,722",11, D , -   ,24,"3,831","3,949",264,"6,746"
,,,,,,,,,,,,,
,Pittsburgh ,663,519,26,"1,033", D , D , -   , D ,667,522,26,"1,040"
,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Providence ,646,827,76,830, D , D , -   , D ,650,833,76,835
,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charleston ,718,607,44,"1,081",749,392,26,"1,169","1,467",999,70,"2,250"
,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Memphis ,"1,533","1,781",156,"2,615",12,18, D ,12,"1,545","1,799",157,"2,627"
,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dallas ,"5,175","5,914",354,"9,807",28,49, D ,31,"5,203","5,963",357,"9,838"
,,,,,,,,,,,,,
,El Paso ,929,"1,548",93,"1,370",21,52, D ,25,950,"1,600",96,"1,395"
,,,,,,,,,,,,,
,Harlingen ,785,957,71,"1,353", D , D , -   ,14,791,961,71,"1,367"
,,,,,,,,,,,,,
,Houston ,"5,757","4,125",448,"9,658",20,10, D ,29,"5,777","4,135",452,"9,687"
,,,,,,,,,,,,,
,San Antonio ,"2,538","4,018",247,"4,020",67,198,10,121,"2,605","4,216",257,"4,141"
,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Salt Lake City ,907,972,88,"2,398", D , D , -   ,11,916,977,88,"2,409"
,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Albans ,142,150, D ,154, -   , -   , -   , -   ,142,150, D ,154
,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Norfolk ,"1,081","1,252",88,"1,650",79,233,26,93,"1,160","1,485",114,"1,743"
,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Seattle ,"3,442","3,845",294,"3,967",29,44, D ,47,"3,471","3,889",296,"4,014"
,,,,,,,,,,,,,
,Spokane ,203,249,24,307, D , D , D , D ,205,251,25,308
,,,,,,,,,,,,,
,Yakima,361,527,21,335, D , D , -   , D ,362,528,21,336
,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Milwaukee ,910,931,117,"1,484", D , D , D , D ,911,940,119,"1,488"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hagatna,210,188,20,261, D , D , D , D ,211,194,21,266
,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charlotte Amalie,126,129,18,161, D , -   , -   , D ,128,129,18,165
,,,,,,,,,,,,,
,Christiansted ,47,49, D ,42, D , D , -   , D ,48,50, D ,44
,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,San Juan ,751,504,89,"1,402", D , D , -   , D ,753,506,89,"1,403"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
