Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
,,,,,,,,,,,,,
2010,MTL,MOUNT LAUREL NJ,"5,841","5,334",446,"2,045",49,23,1,24,"5,890","5,804","2,069"
,,,,,,,,,,,,,
2010,NEW,NEWARK NJ ,"32,490","29,227","3,168","12,502",185,140,23,81,"32,675","32,558","12,583"
,,,,,,,,,,,,,
2010,NOL,NEW ORLEANS LA ,"3,138","3,000",382,"1,085",71,115,4,8,"3,209","3,501","1,093"
,,,,,,,,,,,,,
2010,NOR,NORFOLK VA ,"3,490","3,141",266,"1,122",778,930,84,162,"4,268","4,421","1,284"
,,,,,,,,,,,,,
2010,NYC,NEW YORK NY ,"74,892","31,563","4,174","30,816",436,307,78,247,"75,328","36,122","31,063"
,,,,,,,,,,,,,
2010,OKC,OKLAHOMA CITY OK ,"2,430","2,566",315,810,680,350,10,290,"3,110","3,241","1,100"
,,,,,,,,,,,,,
2010,OKL,OAKLAND PARK FL,"13,961","11,068",885,"5,300",76,47,8,33,"14,037","12,008","5,333"
,,,,,,,,,,,,,
2010,OMA,OMAHA NE ,"2,134","1,899",183,632,20,14,1,3,"2,154","2,097",635
,,,,,,,,,,,,,
2010,ORL,ORLANDO FL ,"10,331","8,771","1,033","4,297",83,52,3,20,"10,414","9,859","4,317"
,,,,,,,,,,,,,
2010,PHI,PHILADELPHI PA ,"16,168","15,975","1,255","6,558",95,66,1,25,"16,263","17,297","6,583"
,,,,,,,,,,,,,
2010,PHO,PHOENIX AZ ,"10,380","8,139",661,"4,708",100,64,20,25,"10,480","8,884","4,733"
,,,,,,,,,,,,,
2010,PIT,PITTSBURGH PA ,"2,509","2,445",70,976,17,17,2,6,"2,526","2,534",982
,,,,,,,,,,,,,
2010,POM,PORTLAND ME ,888,822,62,245,14,15,1, -   ,902,900,245
,,,,,,,,,,,,,
2010,POO,PORTLAND OR ,"6,040","5,312",311,"2,341",46,34,2,18,"6,086","5,659","2,359"
,,,,,,,,,,,,,
2010,PRO,PROVIDENCE RI ,"2,510","2,053",189,949,31,28,2,5,"2,541","2,272",954
,,,,,,,,,,,,,
2010,RAL,RALEIGH NC,"5,360","4,955",230,"1,914",481,279,24,210,"5,841","5,488","2,124"
,,,,,,,,,,,,,
2010,REN,RENO NV ,"1,196","1,022",76,470,14,20, -   ,4,"1,210","1,118",474
,,,,,,,,,,,,,
2010,SAA,SANTA ANA CA,"13,111","12,388","1,253","6,155",75,50,16,18,"13,186","13,707","6,173"
,,,,,,,,,,,,,
