,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Grand Total ,,,"196,936","193,454","23,995","710,425",734,959,205,"3,264","197,670","194,413","24,200","713,689"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Manchester  , MAN ,429,419,45,595, -   , D , -   , D ,429,420,45,599
,,,,,,,,,,,,,,
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Mount Laurel , MTL ,"1,886","1,823",234,"4,229", D , D , -   , D ,"1,887","1,826",234,"4,233"
,,,,,,,,,,,,,,
, Newark  , NEW ,"8,084","6,715",870,"25,997",21,15, D ,63,"8,105","6,730",876,"26,060"
,,,,,,,,,,,,,,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,486,496,58,862, D , D , D , D ,490,498,60,870
,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Albany  , ALB ,536,390,66,"1,391", D , D , D , D ,537,394,67,"1,399"
,,,,,,,,,,,,,,
, Brooklyn , BNY ,"4,636","4,147",623,"24,737", D , D , D ,46,"4,639","4,151",625,"24,783"
,,,,,,,,,,,,,,
, Buffalo  , BUF ,"1,646","1,853",355,"2,960",15,14, D ,70,"1,661","1,867",356,"3,030"
,,,,,,,,,,,,,,
, Long Island , LNY ,"3,370","3,140",278,"9,507", D , D , -   ,24,"3,378","3,148",278,"9,531"
,,,,,,,,,,,,,,
, New York  , NYC ,"6,563","4,216",655,"31,982", D ,19, D ,49,"6,572","4,235",659,"32,031"
,,,,,,,,,,,,,,
, Queens , QNS ,"5,536","4,722",725,"24,015",13,10, D ,80,"5,549","4,732",730,"24,095"
,,,,,,,,,,,,,,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charlotte  , CLT ,"2,102","2,394",198,"6,183", D , D , -   ,15,"2,105","2,397",198,"6,198"
,,,,,,,,,,,,,,
, Raleigh , RAL ,"1,759","1,691",188,"3,309",21,55, D ,103,"1,780","1,746",196,"3,412"
,,,,,,,,,,,,,,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Cincinnati  , CIN ,865,815,92,"1,388", -   , D , -   ,14,865,820,92,"1,402"
,,,,,,,,,,,,,,
, Cleveland  , CLE ,"1,241","1,094",143,"1,661", D , D , -   ,21,"1,247","1,097",143,"1,682"
,,,,,,,,,,,,,,
, Columbus , CLM ,"1,646","1,676",153,"2,989", D , D , -   ,11,"1,648","1,681",153,"3,000"
,,,,,,,,,,,,,,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,"1,013","1,023",154,"2,019",10,12,10,47,"1,023","1,035",164,"2,066"
,,,,,,,,,,,,,,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Portland  , POO ,"2,158","2,327",119,"4,933", D , D , -   ,18,"2,163","2,333",119,"4,951"
,,,,,,,,,,,,,,
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Philadelphia , PHI ,"4,785","4,901",895,"15,746", D ,12, D ,31,"4,794","4,913",899,"15,777"
,,,,,,,,,,,,,,
, Pittsburgh  , PIT ,750,929,59,"1,364", D , D , -   , D ,752,931,59,"1,373"
,,,,,,,,,,,,,,
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Providence  , PRO ,674,678,120,"1,389", D , D , D , D ,675,684,121,"1,394"
,,,,,,,,,,,,,,
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charleston  , CHL ,689,719,44,975,10,19, D ,68,699,738,46,"1,043"
,,,,,,,,,,,,,,
, Greer , GRR ,471,580,40,635, D , D , D ,17,477,583,44,652
,,,,,,,,,,,,,,
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Memphis  , MEM ,619,817,130,"2,059", D , D , D , D ,620,821,133,"2,066"
,,,,,,,,,,,,,,
, Nashville , NTN ,"1,473","1,048",136,"5,896",12,10, -   ,30,"1,485","1,058",136,"5,926"
,,,,,,,,,,,,,,
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Dallas  , DAL ,"6,709","8,159",930,"32,108",14,30, D ,99,"6,723","8,189",936,"32,207"
,,,,,,,,,,,,,,
, El Paso  , ELP ,"1,238","2,187",221,"3,137",20,27, D ,80,"1,258","2,214",224,"3,217"
,,,,,,,,,,,,,,
, Harlingen  , HLG ,727,"1,342",182,"3,168", D , D , -   , D ,728,"1,348",182,"3,172"
,,,,,,,,,,,,,,
, Houston  , HOU ,"6,741","6,868",796,"36,636", D ,31, D ,77,"6,750","6,899",799,"36,713"
,,,,,,,,,,,,,,
, San Antonio  , SNA ,"3,306","4,175",288,"12,540",68,39, D ,163,"3,374","4,214",294,"12,703"
,,,,,,,,,,,,,,
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,"1,290","1,028",127,"6,354", D , D , D ,24,"1,294","1,035",128,"6,378"
,,,,,,,,,,,,,,
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, St. Albans  , STA ,179,146,14,302, -   , -   , -   , D ,179,146,14,305
,,,,,,,,,,,,,,
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Norfolk  , NOR ,"1,204","1,036",133,"3,938",58,76,27,154,"1,262","1,112",160,"4,092"
,,,,,,,,,,,,,,
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Seattle  , SEA ,"4,049","1,575",445,"22,673",26,65, D ,158,"4,075","1,640",446,"22,831"
,,,,,,,,,,,,,,
, Spokane  , SPO ,294,278,27,445, D , D , -   , D ,296,281,27,452
,,,,,,,,,,,,,,
, Yakima , YAK ,417,500,26,647, -   , D , -   , D ,417,501,26,649
,,,,,,,,,,,,,,
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charleston  , CHS , -   , -   , -   , D , -   , -   , -   , -   , -   , -   , -   , D 
,,,,,,,,,,,,,,
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Milwaukee  , MIL ,"1,085","1,138",104,"3,301", -   , D , -   ,11,"1,085","1,141",104,"3,312"
,,,,,,,,,,,,,,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Agana , AGA ,251,237,15,318, D , D , -   , D ,252,239,15,326
,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,76,121,21,277, -   , -   , -   , D ,76,121,21,278
,,,,,,,,,,,,,,
, Christiansted  , CHR ,46, -   , D ,124, D , -   , -   , D ,47, -   , D ,125
,,,,,,,,,,,,,,
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, San Juan  , SAJ ,379,322,100,"1,007", -   , D , -   , -   ,379,323,100,"1,007"
,,,,,,,,,,,,,,
D  Represents data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations are included in ""Naturalization."" ""Total"" includes both general and military naturalization.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3) Counts may differ from those reported in previous quarters due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source(s):,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1) Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Performance Reporting Tool (PRT), queried May 2019.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" Number of Form N-400, Application for Naturalization ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" By Category of Naturalization,  Case Status, and USCIS Field Office Location
 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" January 1 - March 31, 2019 (Fiscal Year 2019, Quarter 2) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications by Category and Case Status,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total1,,,
,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Grand Total ,,, N/A , N/A , N/A , N/A ,245,184, D ,131,245,184, D ,131
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,
,,,,,,,,,,,,,,
, Beijing ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Guangzhou ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Havana ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Santo Domingo ,, N/A , N/A , N/A , N/A , -   , D , -   , -   , -   , D , -   , -   
,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, San Salvador ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Frankfurt ,, N/A , N/A , N/A , N/A ,35,55, -   ,25,35,55, -   ,25
,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Accra ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Athens ,, N/A , N/A , N/A , N/A , D , -   , -   , D , D , -   , -   , D 
,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Guatemala City ,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
