,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"244,134","226,745","25,943","518,707","1,183","2,336",235,"3,858","245,317","229,081","26,178","522,565"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Kansas City ,KAN,"1,326","1,015",97,"2,544",55,127,14,137,"1,381","1,142",111,"2,681"
,,,,,,,,,,,,,,
,St. Louis ,STL,746,"1,005",45,"2,407",3, -   , -   ,23,749,"1,005",45,"2,430"
,,,,,,,,,,,,,,
Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Helena ,HEL,76,80,6,165, -   ,1, -   ,2,76,81,6,167
,,,,,,,,,,,,,,
Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Omaha ,OMA,933,685,136,"1,645", -   ,5,2,3,933,690,138,"1,648"
,,,,,,,,,,,,,,
Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Las Vegas ,LVG,"2,586","2,734",294,"5,691",4,6, -   ,14,"2,590","2,740",294,"5,705"
,,,,,,,,,,,,,,
,Reno ,REN,415,333,26,818,1, -   , -   ,2,416,333,26,820
,,,,,,,,,,,,,,
New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Manchester ,MAN,484,440,39,913,1,1, -   ,3,485,441,39,916
,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Mount Laurel,MTL,"2,264","1,496",247,"4,599",1, -   , -   ,17,"2,265","1,496",247,"4,616"
,,,,,,,,,,,,,,
,Newark ,NEW,"10,560","10,509",810,"22,415",6,9,1,27,"10,566","10,518",811,"22,442"
,,,,,,,,,,,,,,
New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Albuquerque ,ABQ,546,532,31,"1,134",4,1, -   ,14,550,533,31,"1,148"
,,,,,,,,,,,,,,
New York,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Albany ,ALB,687,621,105,"1,513", -   ,3,1,5,687,624,106,"1,518"
,,,,,,,,,,,,,,
,Buffalo ,BUF,"1,232","1,095",181,"2,734",1,6, -   ,15,"1,233","1,101",181,"2,749"
,,,,,,,,,,,,,,
,Long Island,LNY,"6,211","4,491",665,"14,649",3,11,4,13,"6,214","4,502",669,"14,662"
,,,,,,,,,,,,,,
,New York ,NYC,"17,190","20,637","3,174","42,956",10,10, -   ,49,"17,200","20,647","3,174","43,005"
,,,,,,,,,,,,,,
,Queens,QNS,"5,997","4,952",801,"12,919",1,4,2,12,"5,998","4,956",803,"12,931"
,,,,,,,,,,,,,,
North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charlotte ,CLT,"2,133","1,740",141,"3,922", -   ,1, -   ,4,"2,133","1,741",141,"3,926"
,,,,,,,,,,,,,,
,Raleigh,RAL,"1,755","1,464",78,"3,152",24,32,1,82,"1,779","1,496",79,"3,234"
,,,,,,,,,,,,,,
Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Cincinnati ,CIN,754,660,46,"1,437",1,8, -   ,5,755,668,46,"1,442"
,,,,,,,,,,,,,,
,Cleveland ,CLE,"1,055",744,106,"1,971",2,3,1,7,"1,057",747,107,"1,978"
,,,,,,,,,,,,,,
,Columbus,CLM,"1,210","1,165",100,"2,377", -   ,2, -   ,6,"1,210","1,167",100,"2,383"
,,,,,,,,,,,,,,
Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Oklahoma City ,OKC,981,"1,078",99,"2,025",136,298,3,391,"1,117","1,376",102,"2,416"
,,,,,,,,,,,,,,
Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Portland ,POO,"2,047","1,562",133,"3,908", -   ,5, -   ,5,"2,047","1,567",133,"3,913"
,,,,,,,,,,,,,,
Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Philadelphia,PHI,"5,215","4,820",636,"11,675",7,1, -   ,36,"5,222","4,821",636,"11,711"
,,,,,,,,,,,,,,
,Pittsburgh ,PIT,769,767,57,"1,588",2,3, -   ,6,771,770,57,"1,594"
,,,,,,,,,,,,,,
Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Providence ,PRO,987,850,117,"1,741",1, -   , -   ,1,988,850,117,"1,742"
,,,,,,,,,,,,,,
South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charleston ,CHL,941,"1,250",135,"1,771",367,381,95,586,"1,308","1,631",230,"2,357"
,,,,,,,,,,,,,,
Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Memphis ,MEM,"1,960","1,809",129,"4,144",8,8, -   ,32,"1,968","1,817",129,"4,176"
,,,,,,,,,,,,,,
Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Dallas ,DAL,"7,329","7,682",732,"15,724",2,25,1,32,"7,331","7,707",733,"15,756"
,,,,,,,,,,,,,,
,El Paso ,ELP,"1,766","1,787",130,"4,331",9,23,2,37,"1,775","1,810",132,"4,368"
,,,,,,,,,,,,,,
,Harlingen ,HLG,"1,369",802,140,"2,999", -   ,3, -   ,5,"1,369",805,140,"3,004"
,,,,,,,,,,,,,,
,Houston ,HOU,"7,943","7,953",789,"18,258",4,14,3,20,"7,947","7,967",792,"18,278"
,,,,,,,,,,,,,,
,San Antonio ,SNA,"3,753","3,382",210,"7,733",69,207,7,590,"3,822","3,589",217,"8,323"
,,,,,,,,,,,,,,
Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Salt Lake City ,SLC,"1,259",768,75,"2,633",3,3,2,16,"1,262",771,77,"2,649"
,,,,,,,,,,,,,,
Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,St. Albans ,STA,194,155,6,357, -   , -   , -   , -   ,194,155,6,357
,,,,,,,,,,,,,,
Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
