,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Detroit  , DET ,"4,326","3,657",617,"9,841", D , D , D ,42,"4,333","3,659",619,"9,883"
,,,,,,,,,,,,,,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, St. Paul  , SPM ,"3,475","2,166",276,"16,637",18, D , D ,125,"3,493","2,172",278,"16,762"
,,,,,,,,,,,,,,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Kansas City  , KAN ,"1,282","1,070",115,"2,300",16, -   , D ,137,"1,298","1,070",119,"2,437"
,,,,,,,,,,,,,,
, St. Louis  , STL ,890,794,44,"2,038", D , D , -   ,22,894,797,44,"2,060"
,,,,,,,,,,,,,,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Helena  , HEL ,96,95, D ,160, D , -   , -   , D ,98,95, D ,169
,,,,,,,,,,,,,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Omaha  , OMA ,"1,041",507,141,"2,497", D , D , -   ,24,"1,045",508,141,"2,521"
,,,,,,,,,,,,,,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Las Vegas  , LVG ,"2,173","1,588",154,"8,203", D , -   , -   ,37,"2,178","1,588",154,"8,240"
,,,,,,,,,,,,,,
, Reno  , REN ,324,273,37,993, -   , D , D , D ,324,274,38,994
,,,,,,,,,,,,,,
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Manchester  , MAN ,471,422,35,662, D , -   , -   , D ,473,422,35,667
,,,,,,,,,,,,,,
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Mount Laurel , MTL ,"2,172","2,205",212,"4,998", D , -   , D ,25,"2,175","2,205",215,"5,023"
,,,,,,,,,,,,,,
, Newark  , NEW ,"8,822","7,483","1,086","26,030",16,12, -   ,116,"8,838","7,495","1,086","26,146"
,,,,,,,,,,,,,,
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,509,610,53,830, D , D , -   ,16,512,611,53,846
,,,,,,,,,,,,,,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Albany  , ALB ,582,489,70,"1,242", D , D , -   ,25,584,492,70,"1,267"
,,,,,,,,,,,,,,
, Brooklyn , BNY ,"5,748","3,574",570,"24,798", D , D , D ,51,"5,755","3,575",571,"24,849"
,,,,,,,,,,,,,,
, Buffalo  , BUF ,"1,610","1,189",185,"3,279", D , D , -   ,97,"1,617","1,191",185,"3,376"
,,,,,,,,,,,,,,
, Long Island , LNY ,"2,879","3,588",625,"10,412", D , D , D ,60,"2,884","3,589",627,"10,472"
,,,,,,,,,,,,,,
, New York  , NYC ,"7,326","5,232","1,079","30,738",15,13, D ,116,"7,341","5,245","1,081","30,854"
,,,,,,,,,,,,,,
, Queens , QNS ,"6,153","6,231",833,"25,403",17, D , -   ,100,"6,170","6,239",833,"25,503"
,,,,,,,,,,,,,,
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charlotte  , CLT ,"2,206","1,671",285,"5,342", D , D , D ,29,"2,210","1,674",286,"5,371"
,,,,,,,,,,,,,,
, Raleigh , RAL ,"1,982","1,677",84,"4,005",18,10, D ,160,"2,000","1,687",85,"4,165"
,,,,,,,,,,,,,,
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Cincinnati  , CIN ,933,926,89,"1,456", D , -   , -   ,30,934,926,89,"1,486"
,,,,,,,,,,,,,,
, Cleveland  , CLE ,"1,216","1,093",75,"1,876", D , D , D ,27,"1,218","1,096",76,"1,903"
,,,,,,,,,,,,,,
, Columbus , CLM ,"1,617","1,437",102,"3,191", D , D , -   ,36,"1,620","1,438",102,"3,227"
,,,,,,,,,,,,,,
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,"1,043","1,107",115,"2,296",19,11, -   ,152,"1,062","1,118",115,"2,448"
,,,,,,,,,,,,,,
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Portland  , POO ,"2,317","2,560",112,"4,850", -   , D , -   ,16,"2,317","2,564",112,"4,866"
,,,,,,,,,,,,,,
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Philadelphia , PHI ,"5,082","4,304",540,"17,226",12, D , -   ,110,"5,094","4,308",540,"17,336"
,,,,,,,,,,,,,,
, Pittsburgh  , PIT ,809,472,59,"1,755", D , -   , -   ,18,810,472,59,"1,773"
,,,,,,,,,,,,,,
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Providence  , PRO ,839,560,135,"1,753", D , D , -   ,12,842,563,135,"1,765"
,,,,,,,,,,,,,,
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charleston  , CHL ,683,690,90,"1,095",15, -   , D ,169,698,690,95,"1,264"
,,,,,,,,,,,,,,
, Greer , GRR ,528,336,36,915, D , -   , -   ,121,530,336,36,"1,036"
,,,,,,,,,,,,,,
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Memphis  , MEM ,"2,058","1,406",154,"8,499",15, D , -   ,87,"2,073","1,407",154,"8,586"
,,,,,,,,,,,,,,
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Dallas  , DAL ,"6,684","4,391",563,"37,870",22, D , -   ,224,"6,706","4,399",563,"38,094"
,,,,,,,,,,,,,,
, El Paso  , ELP ,"1,360","1,202",178,"6,652", D , -   , -   ,94,"1,368","1,202",178,"6,746"
,,,,,,,,,,,,,,
, Harlingen  , HLG ,776,841,136,"5,245", D , D , D ,16,778,846,137,"5,261"
,,,,,,,,,,,,,,
, Houston  , HOU ,"7,580","3,179",408,"42,028",16, D , -   ,313,"7,596","3,186",408,"42,341"
,,,,,,,,,,,,,,
, San Antonio  , SNA ,"3,697","2,760",373,"10,610",24,57,14,272,"3,721","2,817",387,"10,882"
,,,,,,,,,,,,,,
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,"1,389",840,81,"5,530", D , D , -   ,38,"1,396",844,81,"5,568"
,,,,,,,,,,,,,,
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
