,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
,Charlotte ,"1,396","1,212",94,"2,360", D , D , D , D ,"1,401","1,214",95,"2,365"
,,,,,,,,,,,,,
,Raleigh,"1,271","1,038",70,"2,037",31,37, D ,72,"1,302","1,075",71,"2,109"
,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cincinnati ,504,536,39,853, D , D , -   , D ,506,541,39,858
,,,,,,,,,,,,,
,Cleveland ,833,759,91,"1,248", D , D , D , D ,834,765,92,"1,249"
,,,,,,,,,,,,,
,Columbus,881,833,75,"1,249", D , D , D , D ,883,834,76,"1,251"
,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Oklahoma City ,595,297,26,"2,401",195,80, D ,236,790,377,28,"2,637"
,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Portland ,"1,479","1,569",81,"4,449", D , D , -   ,10,"1,483","1,570",81,"4,459"
,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Philadelphia,"3,618","3,389",275,"7,593",10,12, D , D ,"3,628","3,401",276,"7,599"
,,,,,,,,,,,,,
,Pittsburgh ,618,578,37,"1,296", D , D , D , D ,619,582,38,"1,298"
,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Providence ,640,572,59,"1,182", D , -   , -   , D ,641,572,59,"1,184"
,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charleston ,760,699,106,"1,308",557,416,37,627,"1,317","1,115",143,"1,935"
,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Memphis ,"1,480","1,351",63,"3,179", D , D , -   , D ,"1,486","1,358",63,"3,186"
,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dallas ,"4,545","3,393",494,"13,783", D ,11, D ,25,"4,553","3,404",498,"13,808"
,,,,,,,,,,,,,
,El Paso ,976,"1,117",139,"1,819",16,22, D ,43,992,"1,139",140,"1,862"
,,,,,,,,,,,,,
,Harlingen ,686,689,84,"1,507", D , D , D , D ,688,692,86,"1,510"
,,,,,,,,,,,,,
,Houston ,"5,079","4,789",299,"17,829", D ,19, D ,13,"5,088","4,808",300,"17,842"
,,,,,,,,,,,,,
,San Antonio ,"2,305","2,070",200,"4,950",96,120, D ,162,"2,401","2,190",202,"5,112"
,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Salt Lake City ,930,"1,682",130,"1,122", D , D , -   , D ,931,"1,684",130,"1,123"
,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Albans ,153,137, D ,253, -   , -   , -   , -   ,153,137, D ,253
,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Norfolk ,"1,034",894,62,"2,023",49,107, D ,289,"1,083","1,001",71,"2,312"
,,,,,,,,,,,,,
