,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"238,062","111,155","18,530","632,937","1,566","1,485",170,"3,227","239,628","112,640","18,700","636,164"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Memphis ,MEM,"2,000",533,47,"5,419",5,17, -   ,11,"2,005",550,47,"5,430"
,,,,,,,,,,,,,,
Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Dallas ,DAL,"8,239","2,241",511,"20,995",8,39,3,20,"8,247","2,280",514,"21,015"
,,,,,,,,,,,,,,
,El Paso ,ELP,"1,999",534,114,"5,580",4,18,1,28,"2,003",552,115,"5,608"
,,,,,,,,,,,,,,
,Harlingen ,HLG,"1,781",577,83,"4,084",2,3, -   ,3,"1,783",580,83,"4,087"
,,,,,,,,,,,,,,
,Houston ,HOU,"8,978","4,379",653,"23,059",13,11,1,31,"8,991","4,390",654,"23,090"
,,,,,,,,,,,,,,
,San Antonio ,SNA,"4,482","1,716",138,"10,816",179,131, -   ,401,"4,661","1,847",138,"11,217"
,,,,,,,,,,,,,,
Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Salt Lake City ,SLC,"1,327",639,65,"3,282",1,3,1,8,"1,328",642,66,"3,290"
,,,,,,,,,,,,,,
Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,St. Albans ,STA,212,125,3,471, -   , -   , -   , -   ,212,125,3,471
,,,,,,,,,,,,,,
Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Norfolk ,NOR,"1,369",692,73,"3,898",24,130,3,379,"1,393",822,76,"4,277"
,,,,,,,,,,,,,,
Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Seattle ,SEA,"4,680","2,615",173,"10,197",15,16,2,61,"4,695","2,631",175,"10,258"
,,,,,,,,,,,,,,
,Spokane ,SPO,263,169,14,577, -   ,2, -   ,2,263,171,14,579
,,,,,,,,,,,,,,
,Yakima,YAK,508,191,23,"1,260", -   , -   , -   ,3,508,191,23,"1,263"
,,,,,,,,,,,,,,
Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Milwaukee ,MIL,"1,207",320,75,"3,034",2,2, -   ,3,"1,209",322,75,"3,037"
,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Hagatna,AGA,292,201,12,538,2,4, -   ,4,294,205,12,542
,,,,,,,,,,,,,,
U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,97,118,10,176,1,1, -   ,1,98,119,10,177
,,,,,,,,,,,,,,
,Christiansted ,CHR,67,70,2,187,1, -   , -   ,1,68,70,2,188
,,,,,,,,,,,,,,
Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,San Juan ,SAJ,808,654,66,"2,294", -   , -   , -   , -   ,808,654,66,"2,294"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  September 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Naturalization (Military)1,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,92,88,1,66,,,,,,,,,
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Beijing,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Guangzhou,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Havana,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Santo Domingo,,,,,,,,,,,,,
,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Salvador,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Frankfurt,23,37, -   ,10,,,,,,,,,
,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Accra,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Athens,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Guatemala City,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Port-au-Prince,,,,,,,,,,,,,
,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,New Delhi,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Rome,14, -   , -   ,18,,,,,,,,,
,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Amman,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nairobi,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ciudad Juarez,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Mexico City,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Monterrey,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lima,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Manila,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Moscow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Johannesburg,,,,,,,,,,,,,
,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seoul,54,51,1,37,,,,,,,,,
,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Bangkok,,,,,,,,,,,,,
,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,London,1,,,1,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
