USCIS Field Office or Service Center Location,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
North Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charlotte ,"1,271","1,533",200,"1,655",10, D , D , D ,"1,281","1,541",202,"1,660"
,,,,,,,,,,,,,
,Raleigh,"1,144",963,72,"2,067",58,46, -   ,109,"1,202","1,009",72,"2,176"
,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cincinnati ,534,549,30,768, -   , D , -   , D ,534,552,30,769
,,,,,,,,,,,,,
,Cleveland ,812,846,74,988, D , D , D , D ,814,847,75,989
,,,,,,,,,,,,,
,Columbus,805,804,92,896, D , D , D , D ,808,806,93,899
,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Oklahoma City ,564,355,40,"1,327",211,171, D ,237,775,526,41,"1,564"
,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Portland ,"1,502","1,471",110,"2,886", D , D , -   , D ,"1,504","1,477",110,"2,893"
,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Philadelphia,"3,329","3,975",356,"5,720",11,20, -   ,14,"3,340","3,995",356,"5,734"
,,,,,,,,,,,,,
,Pittsburgh ,563,601,31,972, D , D , D , D ,564,604,32,978
,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Providence ,566,462,114,"1,036", D , D , D , D ,574,471,115,"1,042"
,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charleston ,604,524,48,"1,315",725,375,44,545,"1,329",899,92,"1,860"
,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Memphis ,"1,311","1,295",64,"2,643", D ,12, -   , D ,"1,317","1,307",64,"2,650"
,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dallas ,"4,116","3,867",393,"9,522",27,24, D ,33,"4,143","3,891",398,"9,555"
,,,,,,,,,,,,,
,El Paso ,901,498,112,"1,680",18,11, -   ,38,919,509,112,"1,718"
,,,,,,,,,,,,,
,Harlingen ,685,489,132,"1,426", D ,14, -   , D ,689,503,132,"1,431"
,,,,,,,,,,,,,
,Houston ,"5,099","7,155",345,"7,701",13,20, D ,19,"5,112","7,175",348,"7,720"
,,,,,,,,,,,,,
,San Antonio ,"2,173","2,020",303,"3,926",54,80,12,84,"2,227","2,100",315,"4,010"
,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Salt Lake City ,763,"1,268",86,"1,882", D , D , -   , D ,767,"1,273",86,"1,890"
,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Albans ,129,94, D ,195, D , -   , -   , -   ,130,94, D ,195
,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Norfolk ,"1,011","1,045",72,"1,719",44,137,31,243,"1,055","1,182",103,"1,962"
,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Seattle ,"3,093","2,610",290,"4,188",26,37, D ,43,"3,119","2,647",293,"4,231"
,,,,,,,,,,,,,
,Spokane ,160,180,21,269, D , D , -   , D ,161,183,21,271
,,,,,,,,,,,,,
,Yakima,311,271,11,360, D , -   , -   , D ,313,271,11,363
,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Milwaukee ,772,857,119,"1,226", D , -   , -   , D ,775,857,119,"1,228"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hagatna,171,201,16,219, D , D , D , D ,173,202,17,223
,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charlotte Amalie,90,113,22,126,10, -   , -   , -   ,100,113,22,126
,,,,,,,,,,,,,
,Christiansted ,59,35, D ,55, -   , -   , -   , -   ,59,35, D ,55
,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,San Juan ,629,610,78,"1,423", D , D , -   , D ,630,611,78,"1,424"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
,,,,,,,,,,,,,
'-' Represents zero.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  January 2014",,,,,,,,,,,,,
