"Number of N-400 Applications for Naturalization by Category of Naturalization,  Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"April  1 - June  30, 2014 ",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"231,669","153,867","15,639","401,581","2,662","2,407",213,"4,102","234,331","156,274","15,852","405,683"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,Cleveland ,956,865,72,"1,251", D , D , -   , D ,958,866,72,"1,254"
,Columbus,"1,096","1,064",62,"1,135", D , -   , -   , D ,"1,099","1,064",62,"1,139"
Oklahoma,,,,,,,,,,,,,
,Oklahoma City ,800,287,35,"2,056",326,284, D ,564,"1,126",571,42,"2,620"
Oregon,,,,,,,,,,,,,
,Portland ,"1,997","1,048",80,"4,568", D , D , -   ,10,"2,002","1,053",80,"4,578"
Pennsylvania,,,,,,,,,,,,,
,Philadelphia,"4,612","3,311",246,"7,987",15, D , -   ,17,"4,627","3,319",246,"8,004"
,Pittsburgh ,702,591,33,"1,118", D , D , -   , D ,707,595,33,"1,124"
Rhode Island,,,,,,,,,,,,,
,Providence ,880,641,57,"1,224", D , D , -   , D ,884,649,57,"1,225"
South Carolina,,,,,,,,,,,,,
,Charleston ,877,778,69,"1,204",685,458,24,729,"1,562","1,236",93,"1,933"
Tennessee,,,,,,,,,,,,,
,Memphis ,"1,755","1,115",88,"3,353", D ,14, -   , D ,"1,761","1,129",88,"3,357"
Texas,,,,,,,,,,,,,
,Dallas ,"8,001","5,203",479,"14,105",22,24, D ,29,"8,023","5,227",482,"14,134"
,El Paso ,"1,561",770,60,"2,457",10,24, -   ,19,"1,571",794,60,"2,476"
,Harlingen ,"1,312",685,94,"2,130", D , D , D , D ,"1,315",691,95,"2,133"
,Houston ,"9,418","3,980",395,"15,830",11,11, D ,20,"9,429","3,991",399,"15,850"
,San Antonio ,"3,687","2,589",207,"5,683",101,139, D ,49,"3,788","2,728",216,"5,732"
Utah,,,,,,,,,,,,,
,Salt Lake City ,"1,459",967,55,"2,498", D , D , D , D ,"1,466",971,56,"2,505"
Vermont,,,,,,,,,,,,,
,St. Albans ,176,152, D ,324, -   , D , D , D ,176,153, D ,325
Virginia,,,,,,,,,,,,,
,Norfolk ,"1,188","1,161",43,"1,933",79,269,47,199,"1,267","1,430",90,"2,132"
Washington,,,,,,,,,,,,,
,Seattle ,"3,764","1,844",258,"7,155",17,20, D ,46,"3,781","1,864",259,"7,201"
,Spokane ,231,215,12,294, D , -   , -   , D ,233,215,12,299
,Yakima,605,383,31,682, D , D , -   , D ,607,385,31,685
Wisconsin,,,,,,,,,,,,,
,Milwaukee ,974,846,150,"1,447", D , D , -   , D ,975,848,150,"1,451"
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,Hagatna,183,157,21,294, D , D , -   , D ,185,160,21,300
U.S. Virgin Islands,,,,,,,,,,,,,
,Charlotte Amalie,102,62,16,161, D , -   , -   , -   ,103,62,16,161
,Christiansted ,106,42, D ,172, -   , -   , -   , D ,106,42, D ,173
Puerto Rico,,,,,,,,,,,,,
,San Juan ,779,532,73,"1,593", D , D , D , D ,780,533,75,"1,594"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
"""-"" Represents zero.",,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  July 2014",,,,,,,,,,,,,
