USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"185,466","155,129","19,051","384,850","2,169","1,850",139,"3,982","187,635","156,979","19,190","388,832"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
New Mexico,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Albuquerque ,ABQ,441,323, -   ,914, D , D , -   , D ,443,325, -   ,917
New York,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Albany ,ALB,562,390,39,"1,185", -   , D , -   , D ,562,393,39,"1,189"
,Buffalo ,BUF,"1,131","1,125",163,"2,316", D ,11, D ,15,"1,133","1,136",164,"2,331"
,Long Island,LNY,"4,984","4,015",556,"11,309", D ,12, -   , D ,"4,992","4,027",556,"11,318"
,New York ,NYC,"13,049","11,524","1,711","29,134",23,29, -   ,74,"13,072","11,553","1,711","29,208"
,Queens,QNS,"4,892","3,769",543,"11,268", D , D , -   ,11,"4,893","3,772",543,"11,279"
North Carolina,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Charlotte ,CLT,"1,553","1,418",99,"2,844", D , D , -   ,10,"1,557","1,420",99,"2,854"
,Raleigh,RAL,"1,403","1,259",69,"2,045",19,22, D ,43,"1,422","1,281",71,"2,088"
Ohio,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Cincinnati ,CIN,559,576,60,933, D , D , -   , D ,561,580,60,938
,Cleveland ,CLE,916,913,87,"1,428", D , D , -   , D ,921,918,87,"1,435"
,Columbus,CLM,"1,083",990,96,"1,664", D , D , -   , D ,"1,085",991,96,"1,667"
Oklahoma,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Oklahoma City ,OKC,750,712,59,"1,840",305,186, D ,267,"1,055",898,62,"2,107"
Oregon,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Portland ,POO,"1,758","1,477",112,"4,475", D , D , -   , D ,"1,759","1,479",112,"4,483"
Pennsylvania,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Philadelphia,PHI,"4,137","3,835",325,"8,117", D ,11, D ,31,"4,142","3,846",326,"8,148"
,Pittsburgh ,PIT,685,772,30,"1,524", D , -   , -   , D ,689,772,30,"1,527"
Rhode Island,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Providence ,PRO,701,666,96,"1,033", -   , D , -   , D ,701,667,96,"1,039"
South Carolina,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Charleston ,CHL,891,625,55,"1,914",710,323,31,"1,311","1,601",948,86,"3,225"
Tennessee,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Memphis ,MEM,"1,548","1,045",100,"3,617", D , D , -   , D ,"1,554","1,054",100,"3,621"
Texas,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Dallas ,DAL,"5,285","3,481",625,"11,723",19,16, -   ,56,"5,304","3,497",625,"11,779"
,El Paso ,ELP,"1,147",769,108,"2,631", D ,19, D ,43,"1,155",788,110,"2,674"
,Harlingen ,HLG,805,379,113,"1,934", D , D , -   , D ,809,380,113,"1,939"
,Houston ,HOU,"6,176","5,202",723,"14,096", D ,12, D ,13,"6,184","5,214",728,"14,109"
,San Antonio ,SNA,"2,651","1,842",162,"5,656",104,119, D ,258,"2,755","1,961",171,"5,914"
Utah,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Salt Lake City ,SLC,"1,010",854,84,"1,738", D , D , D , D ,"1,015",858,85,"1,746"
Vermont,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,St. Albans ,STA,155,125, D ,292, D , -   , -   , D ,158,125, D ,296
Virginia,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Norfolk ,NOR,"1,121",949,116,"2,619",29,179, D ,409,"1,150","1,128",122,"3,028"
Washington,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Seattle ,SEA,"3,562","3,951",425,"9,989", D ,29, -   ,35,"3,571","3,980",425,"10,024"
,Spokane ,SPO,241,235,16,361, D , D , -   , D ,243,238,16,364
,Yakima,YAK,400,325,19,585, D , -   , -   , D ,401,325,19,586
