,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,," 189,410 "," 174,109 "," 21,957 "," 727,740 ", 648 ," 1,141 ", 227 ," 4,093 "," 190,058 "," 175,250 "," 22,184 "," 731,833 "
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, Baltimore  , BAL ," 4,197 "," 3,588 ", 220 ," 23,032 ", 10 , 21 , D , 81 ," 4,207 "," 3,609 ", 224 ," 23,113 "
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ," 4,236 "," 3,346 ", 508 ," 9,110 ", D , 18 , D , 52 ," 4,242 "," 3,364 ", 511 ," 9,162 "
, Lawrence , LAW ," 1,910 ", 676 , 224 ," 5,117 ", D , 12 , D , 23 ," 1,913 ", 688 , 225 ," 5,140 "
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Detroit  , DET ," 4,108 "," 3,548 ", 560 ," 9,925 ", D , D , -   , 39 ," 4,117 "," 3,552 ", 560 ," 9,964 "
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ," 3,528 "," 2,434 ", 324 ," 18,327 ", D , 23 , -   , 77 ," 3,536 "," 2,457 ", 324 ," 18,404 "
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ," 1,005 "," 1,161 ", 94 ," 1,682 ", 10 , 39 , D , 447 ," 1,015 "," 1,200 ", 97 ," 2,129 "
, St. Louis  , STL , 754 , 663 , 89 ," 1,924 ", D , D , -   , 19 , 759 , 664 , 89 ," 1,943 "
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Helena  , HEL , 76 , 101 , 10 , 131 , -   , -   , -   , D , 76 , 101 , 10 , 133 
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA , 936 , 829 , 189 ," 2,399 ", D , D , -   , 11 , 937 , 836 , 189 ," 2,410 "
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ," 1,604 "," 1,136 ", 165 ," 10,296 ", D , D , D , 32 ," 1,609 "," 1,139 ", 168 ," 10,328 "
, Reno  , REN , 284 , 344 , 44 , 714 , D , -   , -   , D , 285 , 344 , 44 , 717 
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN , 362 , 341 , 54 , 610 , -   , D , -   , D , 362 , 342 , 54 , 614 
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ," 1,827 "," 1,691 ", 225 ," 4,337 ", D , D , D , D ," 1,828 "," 1,700 ", 227 ," 4,342 "
, Newark  , NEW ," 7,796 "," 7,396 ", 871 ," 25,349 ", 12 , 28 , D , 71 ," 7,808 "," 7,424 ", 879 ," 25,420 "
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ , 431 , 423 , 43 , 911 , D , D , -   , D , 434 , 426 , 43 , 919 
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB , 397 , 318 , 49 ," 1,311 ", -   , D , -   , 15 , 397 , 320 , 49 ," 1,326 "
, Brooklyn , BNY ," 4,707 "," 2,932 ", 691 ," 24,825 ", D , 13 , D , 55 ," 4,709 "," 2,945 ", 692 ," 24,880 "
, Buffalo  , BUF ," 1,507 "," 1,139 ", 285 ," 3,465 ", D , 29 , 12 , 62 ," 1,513 "," 1,168 ", 297 ," 3,527 "
, Long Island , LNY ," 3,085 "," 3,230 ", 363 ," 9,391 ", D , 16 , D , 21 ," 3,086 "," 3,246 ", 365 ," 9,412 "
, New York  , NYC ," 6,443 "," 5,234 ", 937 ," 30,310 ", D , 15 , D , 69 ," 6,446 "," 5,249 ", 943 ," 30,379 "
, Queens , QNS ," 5,659 "," 4,280 ", 795 ," 23,964 ", 14 , 12 , D , 85 ," 5,673 "," 4,292 ", 801 ," 24,049 "
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ," 1,826 "," 1,269 ", 128 ," 6,675 ", D , D , -   , 18 ," 1,831 "," 1,271 ", 128 ," 6,693 "
, Raleigh , RAL ," 1,782 "," 2,296 ", 126 ," 3,427 ", 17 , 51 , D , 124 ," 1,799 "," 2,347 ", 129 ," 3,551 "
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN , 741 , 578 , 99 ," 1,098 ", D , D , D , 18 , 744 , 580 , 100 ," 1,116 "
, Cleveland  , CLE ," 1,078 "," 1,135 ", 116 ," 1,627 ", D , D , -   , 17 ," 1,080 "," 1,140 ", 116 ," 1,644 "
, Columbus , CLM ," 1,523 "," 1,431 ", 180 ," 3,099 ", D , D , D , 14 ," 1,524 "," 1,438 ", 181 ," 3,113 "
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
