,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,
 Total ,,," 215,307 "," 209,972 "," 25,632 "," 733,974 ", 798 ," 1,557 ", 214 ," 4,174 "," 216,105 "," 211,529 "," 25,846 "," 738,148 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,,
, Manchester  , MAN , 468 , 534 , 38 , 628 , -   , D , -   , D , 468 , 536 , 38 , 633 ,
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Mount Laurel , MTL ," 2,070 "," 2,131 ", 182 ," 4,429 ", D , -   , -   , 14 ," 2,075 "," 2,131 ", 182 ," 4,443 ",
, Newark  , NEW ," 8,411 "," 7,739 ", 803 ," 25,630 ", 13 , 35 , -   , 86 ," 8,424 "," 7,774 ", 803 ," 25,716 ",
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Albuquerque  , ABQ , 513 , 644 , 39 , 939 , D , -   , -   , D , 514 , 644 , 39 , 947 ,
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Albany  , ALB , 490 , 263 , 51 ," 1,264 ", D , D , -   , 15 , 491 , 270 , 51 ," 1,279 ",
, Brooklyn , BNY ," 5,456 "," 5,395 "," 1,244 "," 23,818 ", D , 16 , D , 48 ," 5,461 "," 5,411 "," 1,247 "," 23,866 ",
, Buffalo  , BUF ," 1,589 "," 1,534 ", 270 ," 3,323 ", 11 , 31 , -   , 81 ," 1,600 "," 1,565 ", 270 ," 3,404 ",
, Long Island , LNY ," 2,943 "," 2,996 ", 516 ," 9,749 ", D , D , -   , 41 ," 2,949 "," 3,000 ", 516 ," 9,790 ",
