,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,," 283,234 "," 186,864 "," 20,806 "," 520,283 "," 2,802 "," 2,135 ", 155 ," 3,731 "," 286,036 "," 188,999 "," 20,961 "," 524,014 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,
,Buffalo ,BUF," 1,527 "," 1,147 ", 183 ," 2,740 ", D , 11 , -   , 13 ," 1,528 "," 1,158 ", 183 ," 2,753 ",,,,,,,,,,
,Long Island,LNY," 7,816 "," 3,824 ", 410 ," 15,188 ", D , 13 , -   , 17 ," 7,825 "," 3,837 ", 410 ," 15,205 ",,,,,,,,,,
,New York ,NYC," 21,187 "," 13,869 "," 2,284 "," 44,979 ", D , 33 , -   , 41 ," 21,193 "," 13,902 "," 2,284 "," 45,020 ",,,,,,,,,,
,Queens,QNS," 6,986 "," 3,682 ", 679 ," 12,428 ", D , D , -   , 11 ," 6,987 "," 3,689 ", 679 ," 12,439 ",,,,,,,,,,
North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Charlotte ,CLT," 2,373 "," 1,857 ", 149 ," 3,571 ", -   , D , D , D ," 2,373 "," 1,859 ", 150 ," 3,577 ",,,,,,,,,,
,Raleigh,RAL," 2,009 "," 1,557 ", 82 ," 2,903 ", 16 , 38 , -   , 43 ," 2,025 "," 1,595 ", 82 ," 2,946 ",,,,,,,,,,
Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Cincinnati ,CIN, 783 , 615 , 41 ," 1,340 ", -   , D , D , D , 783 , 622 , 43 ," 1,348 ",,,,,,,,,,
,Cleveland ,CLE," 1,111 "," 1,031 ", 102 ," 1,671 ", D , D , D , D ," 1,112 "," 1,035 ", 104 ," 1,673 ",,,,,,,,,,
,Columbus,CLM," 1,427 ", 956 , 106 ," 2,390 ", D , D , -   , D ," 1,429 ", 959 , 106 ," 2,394 ",,,,,,,,,,
Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Oklahoma City ,OKC," 1,102 ", 579 , 78 ," 2,192 ", 377 , 165 , D , 477 ," 1,479 ", 744 , 81 ," 2,669 ",,,,,,,,,,
Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Portland ,POO," 2,228 "," 2,227 ", 155 ," 3,450 ", D , D , -   , D ," 2,233 "," 2,233 ", 155 ," 3,457 ",,,,,,,,,,
Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Philadelphia,PHI," 6,269 "," 3,862 ", 586 ," 11,942 ", D , D , -   , 21 ," 6,277 "," 3,871 ", 586 ," 11,963 ",,,,,,,,,,
,Pittsburgh ,PIT, 860 , 904 , 21 ," 1,655 ", D , D , -   , D , 862 , 908 , 21 ," 1,658 ",,,,,,,,,,
Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Providence ,PRO," 1,149 ", 816 , 67 ," 1,751 ", D , D , -   , D ," 1,152 ", 818 , 67 ," 1,752 ",,,,,,,,,,
